"id_provincia","year","value"
1,1931,0
2,1931,0
3,1931,0
4,1931,0
33,1931,0
5,1931,0
6,1931,0
7,1931,0
8,1931,0
9,1931,0
10,1931,0
11,1931,0
39,1931,0
12,1931,0
51,1931,0
13,1931,0
14,1931,0
15,1931,0
16,1931,0
17,1931,0
18,1931,0
19,1931,0
20,1931,0
21,1931,0
22,1931,0
23,1931,0
24,1931,0
25,1931,0
27,1931,0
28,1931,0
29,1931,0
52,1931,0
30,1931,0
31,1931,0
32,1931,0
34,1931,0
35,1931,0
36,1931,0
26,1931,0
37,1931,0
40,1931,0
41,1931,0
42,1931,0
43,1931,0
38,1931,0
44,1931,0
45,1931,0
46,1931,0
47,1931,0
48,1931,0
49,1931,0
50,1931,0
1,1942,0
2,1942,0
3,1942,0
4,1942,0
33,1942,0
5,1942,0
6,1942,0
7,1942,0
8,1942,0
9,1942,0
10,1942,0
11,1942,0
39,1942,0
12,1942,0
51,1942,0
13,1942,0
14,1942,0
15,1942,0
16,1942,0
17,1942,0
18,1942,0
19,1942,0
20,1942,0
21,1942,0
22,1942,0
23,1942,0
24,1942,0
25,1942,0
27,1942,0
28,1942,0
29,1942,0
52,1942,0
30,1942,0
31,1942,0
32,1942,0
34,1942,0
35,1942,0
36,1942,0
26,1942,0
37,1942,0
40,1942,0
41,1942,0
42,1942,0
43,1942,0
38,1942,0
44,1942,0
45,1942,0
46,1942,0
47,1942,0
48,1942,0
49,1942,0
50,1942,0
1,1947,0
2,1947,0
3,1947,0
4,1947,0
33,1947,0
5,1947,0
6,1947,0
7,1947,0
8,1947,0
9,1947,0
10,1947,0
11,1947,0
39,1947,0
12,1947,0
51,1947,0
13,1947,0
14,1947,0
15,1947,0
16,1947,0
17,1947,0
18,1947,0
19,1947,0
20,1947,0
21,1947,0
22,1947,0
23,1947,0
24,1947,0
25,1947,0
27,1947,0
28,1947,0
29,1947,0
52,1947,0
30,1947,0
31,1947,0
32,1947,0
34,1947,0
35,1947,0
36,1947,0
26,1947,0
37,1947,0
40,1947,0
41,1947,0
42,1947,0
43,1947,0
38,1947,0
44,1947,0
45,1947,0
46,1947,0
47,1947,0
48,1947,0
49,1947,0
50,1947,0
1,1949,0
2,1949,0
3,1949,0
4,1949,0
33,1949,0
5,1949,0
6,1949,0
7,1949,0
8,1949,0
9,1949,0
10,1949,0
11,1949,0
39,1949,0
12,1949,0
51,1949,0
13,1949,0
14,1949,0
15,1949,0
16,1949,0
17,1949,0
18,1949,0
19,1949,0
20,1949,0
21,1949,0
22,1949,0
23,1949,0
24,1949,0
25,1949,0
27,1949,0
28,1949,0
29,1949,0
52,1949,0
30,1949,0
31,1949,0
32,1949,0
34,1949,0
35,1949,0
36,1949,0
26,1949,0
37,1949,0
40,1949,0
41,1949,0
42,1949,0
43,1949,0
38,1949,0
44,1949,0
45,1949,0
46,1949,0
47,1949,0
48,1949,0
49,1949,0
50,1949,0
1,1950,0
2,1950,0
3,1950,0
4,1950,0
33,1950,0
5,1950,0
6,1950,0
7,1950,0
8,1950,0
9,1950,0
10,1950,0
11,1950,0
39,1950,0
12,1950,0
51,1950,0
13,1950,0
14,1950,0
15,1950,0
16,1950,0
17,1950,0
18,1950,0
19,1950,0
20,1950,0
21,1950,0
22,1950,0
23,1950,0
24,1950,0
25,1950,0
27,1950,0
28,1950,0
29,1950,0
52,1950,0
30,1950,0
31,1950,0
32,1950,0
34,1950,0
35,1950,0
36,1950,0
26,1950,0
37,1950,0
40,1950,0
41,1950,0
42,1950,0
43,1950,0
38,1950,0
44,1950,0
45,1950,0
46,1950,0
47,1950,0
48,1950,0
49,1950,0
50,1950,0
1,1951,0
2,1951,0
3,1951,0
4,1951,0
33,1951,0
5,1951,0
6,1951,0
7,1951,0
8,1951,0
9,1951,0
10,1951,0
11,1951,0
39,1951,0
12,1951,0
51,1951,0
13,1951,0
14,1951,0
15,1951,0
16,1951,0
17,1951,0
18,1951,0
19,1951,0
20,1951,0
21,1951,0
22,1951,0
23,1951,0
24,1951,0
25,1951,0
27,1951,0
28,1951,0
29,1951,0
52,1951,0
30,1951,0
31,1951,0
32,1951,0
34,1951,0
35,1951,0
36,1951,0
26,1951,0
37,1951,0
40,1951,0
41,1951,0
42,1951,0
43,1951,0
38,1951,0
44,1951,0
45,1951,0
46,1951,0
47,1951,0
48,1951,0
49,1951,0
50,1951,0
1,1952,0
2,1952,0
3,1952,0
4,1952,0
33,1952,0
5,1952,0
6,1952,0
7,1952,0
8,1952,0
9,1952,0
10,1952,0
11,1952,0
39,1952,0
12,1952,0
51,1952,0
13,1952,0
14,1952,0
15,1952,0
16,1952,0
17,1952,0
18,1952,0
19,1952,0
20,1952,0
21,1952,0
22,1952,0
23,1952,0
24,1952,0
25,1952,0
27,1952,0
28,1952,0
29,1952,0
52,1952,0
30,1952,0
31,1952,0
32,1952,0
34,1952,0
35,1952,0
36,1952,0
26,1952,0
37,1952,0
40,1952,0
41,1952,0
42,1952,0
43,1952,0
38,1952,0
44,1952,0
45,1952,0
46,1952,0
47,1952,0
48,1952,0
49,1952,0
50,1952,0
1,1953,0
2,1953,0
3,1953,0
4,1953,0
33,1953,0
5,1953,0
6,1953,0
7,1953,0
8,1953,0
9,1953,0
10,1953,0
11,1953,0
39,1953,0
12,1953,0
51,1953,0
13,1953,0
14,1953,0
15,1953,0
16,1953,0
17,1953,0
18,1953,0
19,1953,0
20,1953,0
21,1953,0
22,1953,0
23,1953,0
24,1953,0
25,1953,0
27,1953,0
28,1953,0
29,1953,0
52,1953,0
30,1953,0
31,1953,0
32,1953,0
34,1953,0
35,1953,0
36,1953,0
26,1953,0
37,1953,0
40,1953,0
41,1953,0
42,1953,0
43,1953,0
38,1953,0
44,1953,0
45,1953,0
46,1953,0
47,1953,0
48,1953,0
49,1953,0
50,1953,0
1,1954,0
2,1954,0
3,1954,0
4,1954,0
33,1954,0
5,1954,0
6,1954,0
7,1954,0
8,1954,0
9,1954,0
10,1954,0
11,1954,0
39,1954,0
12,1954,0
51,1954,0
13,1954,0
14,1954,0
15,1954,0
16,1954,0
17,1954,0
18,1954,1
19,1954,0
20,1954,0
21,1954,0
22,1954,0
23,1954,0
24,1954,0
25,1954,0
27,1954,0
28,1954,0
29,1954,0
52,1954,0
30,1954,0
31,1954,0
32,1954,0
34,1954,0
35,1954,0
36,1954,0
26,1954,0
37,1954,0
40,1954,0
41,1954,0
42,1954,0
43,1954,0
38,1954,0
44,1954,0
45,1954,0
46,1954,0
47,1954,0
48,1954,0
49,1954,0
50,1954,0
1,1955,0
2,1955,0
3,1955,0
4,1955,0
33,1955,0
5,1955,0
6,1955,0
7,1955,0
8,1955,0
9,1955,0
10,1955,0
11,1955,0
39,1955,0
12,1955,0
51,1955,0
13,1955,0
14,1955,0
15,1955,0
16,1955,0
17,1955,0
18,1955,0
19,1955,0
20,1955,0
21,1955,1
22,1955,0
23,1955,0
24,1955,0
25,1955,0
27,1955,0
28,1955,0
29,1955,0
52,1955,0
30,1955,0
31,1955,0
32,1955,0
34,1955,0
35,1955,0
36,1955,0
26,1955,0
37,1955,0
40,1955,0
41,1955,0
42,1955,0
43,1955,0
38,1955,0
44,1955,0
45,1955,0
46,1955,0
47,1955,0
48,1955,0
49,1955,0
50,1955,0
1,1956,0
2,1956,0
3,1956,0
4,1956,0
